127.0.0.1 - - [27/Jan/2016:22:52:47 -0600] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [27/Jan/2016:22:53:49 -0600] "GET /AngularTest/index.jsp HTTP/1.1" 200 452
0:0:0:0:0:0:0:1 - - [27/Jan/2016:22:53:53 -0600] "GET /AngularTest/index.htm HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2016:22:53:53 -0600] "GET /AngularTest/js/vendor/angular-route.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2016:22:53:53 -0600] "GET /AngularTest/js/vendor/angular-resource.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2016:22:53:53 -0600] "GET /AngularTest/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2016:22:53:53 -0600] "GET /AngularTest/js/routes.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2016:22:53:53 -0600] "GET /AngularTest/js/service.js HTTP/1.1" 200 5321
0:0:0:0:0:0:0:1 - - [27/Jan/2016:22:53:53 -0600] "GET /AngularTest/js/controller.js HTTP/1.1" 200 9860
0:0:0:0:0:0:0:1 - - [27/Jan/2016:22:53:53 -0600] "GET /AngularTest/js/vendor/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2016:22:53:53 -0600] "GET /AngularTest/pages/performanceSummary.htm HTTP/1.1" 200 4470
0:0:0:0:0:0:0:1 - - [27/Jan/2016:22:53:54 -0600] "HEAD /AngularTest/%7B%7Bcontent%7D%7D HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [27/Jan/2016:22:53:54 -0600] "HEAD /AngularTest/%7B%7Bcontent%7D%7D HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [27/Jan/2016:22:54:00 -0600] "HEAD /AngularTest/%7B%7Bcontent%7D%7D HTTP/1.1" 404 -
