127.0.0.1 - - [04/Jan/2016:10:20:17 -0600] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [04/Jan/2016:10:24:19 -0600] "GET /AngularTest/index.jsp HTTP/1.1" 200 457
0:0:0:0:0:0:0:1 - - [04/Jan/2016:10:24:22 -0600] "GET /AngularTest/index.htm HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2016:10:24:22 -0600] "GET /AngularTest/js/vendor/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2016:10:24:22 -0600] "GET /AngularTest/js/vendor/angular-route.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2016:10:24:22 -0600] "GET /AngularTest/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2016:10:24:22 -0600] "GET /AngularTest/js/vendor/angular-resource.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2016:10:24:22 -0600] "GET /AngularTest/js/service.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2016:10:24:22 -0600] "GET /AngularTest/js/routes.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2016:10:24:22 -0600] "GET /AngularTest/js/controller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2016:10:24:23 -0600] "GET /AngularTest/pages/home.htm HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [04/Jan/2016:10:24:24 -0600] "GET /AngularTest/pages/performanceSummary.htm HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2016:10:24:36 -0600] "POST /RESTfulExample/rest/metallica/getPerformanceSummaryTO/12345 HTTP/1.1" 200 798
0:0:0:0:0:0:0:1 - - [04/Jan/2016:10:24:41 -0600] "POST /RESTfulExample/rest/metallica/getPerformanceDateList/2014 HTTP/1.1" 200 835
0:0:0:0:0:0:0:1 - - [04/Jan/2016:10:24:48 -0600] "GET /AngularTest/index.jsp HTTP/1.1" 200 457
0:0:0:0:0:0:0:1 - - [04/Jan/2016:10:24:51 -0600] "POST /RESTfulExample/rest/metallica/getPerformanceSummaryTO/12345 HTTP/1.1" 200 798
0:0:0:0:0:0:0:1 - - [04/Jan/2016:13:42:01 -0600] "GET /AngularTest/index.jsp HTTP/1.1" 200 457
0:0:0:0:0:0:0:1 - - [04/Jan/2016:13:42:04 -0600] "GET /AngularTest/js/routes.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2016:13:42:04 -0600] "GET /AngularTest/js/controller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2016:13:42:04 -0600] "GET /AngularTest/pages/home.htm HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [04/Jan/2016:14:18:03 -0600] "GET /AngularTest/index.jsp HTTP/1.1" 200 457
0:0:0:0:0:0:0:1 - - [04/Jan/2016:14:18:23 -0600] "GET /AngularTest/pages/home.htm HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [04/Jan/2016:14:18:27 -0600] "GET /AngularTest/pages/performanceSummary.htm HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2016:14:18:50 -0600] "POST /RESTfulExample/rest/metallica/getPerformanceSummaryTO/12345 HTTP/1.1" 200 798
0:0:0:0:0:0:0:1 - - [04/Jan/2016:14:18:56 -0600] "POST /RESTfulExample/rest/metallica/getPerformanceDateList/2014 HTTP/1.1" 200 835
0:0:0:0:0:0:0:1 - - [04/Jan/2016:14:19:39 -0600] "GET /AngularTest/index.jsp HTTP/1.1" 200 457
0:0:0:0:0:0:0:1 - - [04/Jan/2016:14:20:46 -0600] "GET /AngularTest/index.jsp HTTP/1.1" 200 457
0:0:0:0:0:0:0:1 - - [04/Jan/2016:14:20:47 -0600] "POST /RESTfulExample/rest/metallica/getPerformanceSummaryTO/12345 HTTP/1.1" 200 798
0:0:0:0:0:0:0:1 - - [04/Jan/2016:14:20:56 -0600] "POST /RESTfulExample/rest/metallica/getPerformanceDateList/2014 HTTP/1.1" 200 835
