127.0.0.1 - - [02/Feb/2016:09:28:18 -0600] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [02/Feb/2016:09:28:19 -0600] "GET /AngularTest/SpecRunner.html HTTP/1.1" 200 1876
0:0:0:0:0:0:0:1 - - [02/Feb/2016:09:28:19 -0600] "GET /AngularTest/src/Player.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2016:09:28:19 -0600] "GET /AngularTest/src/Song.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2016:09:28:19 -0600] "GET /AngularTest/js/Test.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2016:09:28:19 -0600] "GET /AngularTest/js/routes.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2016:09:28:19 -0600] "GET /AngularTest/js/controller.js HTTP/1.1" 200 11438
0:0:0:0:0:0:0:1 - - [02/Feb/2016:09:28:19 -0600] "GET /AngularTest/js/service.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2016:09:28:19 -0600] "GET /AngularTest/spec/TestSpecPerformanceSummary.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2016:09:28:19 -0600] "GET /AngularTest/spec/TestSpec.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2016:09:29:10 -0600] "GET /AngularTest/SpecRunner.html HTTP/1.1" 200 1881
0:0:0:0:0:0:0:1 - - [02/Feb/2016:09:29:11 -0600] "GET /AngularTest/js/vendor/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2016:09:29:11 -0600] "GET /AngularTest/js/vendor/angular-route.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2016:09:29:11 -0600] "GET /AngularTest/js/vendor/angular-resource.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2016:09:29:12 -0600] "GET /AngularTest/src/Player.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2016:09:29:12 -0600] "GET /AngularTest/src/Song.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2016:09:29:12 -0600] "GET /AngularTest/js/Test.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2016:09:29:12 -0600] "GET /AngularTest/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2016:09:29:12 -0600] "GET /AngularTest/js/controller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2016:09:29:12 -0600] "GET /AngularTest/js/routes.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2016:09:29:12 -0600] "GET /AngularTest/js/service.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2016:09:29:12 -0600] "GET /AngularTest/spec/TestSpec.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2016:09:30:09 -0600] "GET /AngularTest/SpecRunner.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2016:09:30:09 -0600] "GET /AngularTest/js/vendor/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2016:09:30:09 -0600] "GET /AngularTest/js/vendor/angular-route.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2016:09:30:09 -0600] "GET /AngularTest/js/vendor/angular-resource.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2016:09:30:09 -0600] "GET /AngularTest/src/Player.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2016:09:30:09 -0600] "GET /AngularTest/src/Song.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2016:09:30:09 -0600] "GET /AngularTest/js/Test.js HTTP/1.1" 200 988
0:0:0:0:0:0:0:1 - - [02/Feb/2016:09:30:09 -0600] "GET /AngularTest/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2016:09:30:09 -0600] "GET /AngularTest/js/controller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2016:09:30:09 -0600] "GET /AngularTest/js/routes.js HTTP/1.1" 304 -
